OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,H_MEAN,A_MEAN,A_MEDIAN
37-3000,Grounds Maintenance Workers,975950.00,,17.29,35960.00,35460.00
37-3010,Grounds Maintenance Workers,975950.00,,17.29,35960.00,35460.00
37-3011,Landscaping and Groundskeeping Workers,892450.00,,16.94,35240.00,34430.00
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",25820.00,,19.47,40500.00,38270.00
37-3013,Tree Trimmers and Pruners,41920.00,,22.81,47450.00,46970.00
37-3019,"Grounds Maintenance Workers, All Other",15770.00,,18.81,39120.00,36540.00
39-0000,Personal Care and Service Occupations,2566440.00,,16.17,33620.00,29450.00
39-1000,Supervisors of Personal Care and Service Workers,187400.00,,22.57,46950.00,45070.00
39-1010,First-Line Supervisors of Entertainment and Recreation Workers,86370.00,,23.25,48370.00,47040.00
39-1013,First-Line Supervisors of Gambling Services Workers,19510.00,,25.28,52590.00,49140.00
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",66860.00,,22.66,47130.00,44870.00
39-1020,First-Line Supervisors of Personal Service Workers,101030.00,,21.99,45730.00,40390.00
39-1022,First-Line Supervisors of Personal Service Workers,101030.00,,21.99,45730.00,40390.00
39-2000,Animal Care and Service Workers,241520.00,,14.47,30100.00,28730.00
39-2010,Animal Trainers,15840.00,,18.38,38230.00,31280.00
39-2011,Animal Trainers,15840.00,,18.38,38230.00,31280.00
39-2020,Animal Caretakers,225680.00,,14.19,29520.00,28600.00
39-2021,Animal Caretakers,225680.00,,14.19,29520.00,28600.00
39-3000,Entertainment Attendants and Related Workers,418960.00,,13.06,27170.00,24960.00
39-3010,Gambling Services Workers,82860.00,,14.11,29340.00,25630.00
39-3011,Gambling Dealers,64700.00,,13.92,28960.00,24960.00
39-3012,Gambling and Sports Book Writers and Runners,7340.00,,14.00,29110.00,27530.00
39-3019,"Gambling Service Workers, All Other",10820.00,,15.28,31790.00,28990.00
39-3020,Motion Picture Projectionists,1620.00,,15.85,32970.00,29350.00
39-3021,Motion Picture Projectionists,1620.00,,15.85,32970.00,29350.00
39-3030,"Ushers, Lobby Attendants, and Ticket Takers",54970.00,,12.69,26390.00,24440.00
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",54970.00,,12.69,26390.00,24440.00
39-3090,Miscellaneous Entertainment Attendants and Related Workers,279510.00,,12.81,26650.00,24800.00
39-3091,Amusement and Recreation Attendants,262170.00,,12.55,26110.00,24500.00
39-3092,Costume Attendants,3380.00,,26.25,54590.00,47850.00
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",9670.00,,14.53,30220.00,28570.00
39-3099,"Entertainment Attendants and Related Workers, All Other",4290.00,,14.27,29680.00,24170.00
39-4000,Funeral Service Workers,63300.00,,20.58,42800.00,36490.00
39-4010,Embalmers and Crematory Operators,6110.00,,22.77,47350.00,44960.00
39-4011,Embalmers,4070.00,,24.62,51210.00,47780.00
39-4012,Crematory Operators,2040.00,,19.07,39660.00,37490.00
39-4020,Funeral Attendants,32490.00,,15.21,31630.00,29230.00
39-4021,Funeral Attendants,32490.00,,15.21,31630.00,29230.00
39-4030,"Morticians, Undertakers, and Funeral Arrangers",24700.00,,27.10,56360.00,48950.00
39-4031,"Morticians, Undertakers, and Funeral Arrangers",24700.00,,27.10,56360.00,48950.00
39-5000,Personal Appearance Workers,481530.00,,16.99,35350.00,29590.00
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",298880.00,,17.30,35980.00,29680.00
39-5011,Barbers,12910.00,,17.16,35700.00,29970.00
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",285980.00,,17.30,35990.00,29670.00
39-5090,Miscellaneous Personal Appearance Workers,182640.00,,16.50,34310.00,29450.00
39-5091,"Makeup Artists, Theatrical and Performance",1960.00,,59.80,124380.00,134750.00
39-5092,Manicurists and Pedicurists,120540.00,,14.65,30480.00,29210.00
39-5093,Shampooers,9560.00,,12.09,25160.00,24440.00
39-5094,Skincare Specialists,50580.00,,20.05,41700.00,37300.00
39-6000,"Baggage Porters, Bellhops, and Concierges",54100.00,,16.68,34680.00,30720.00
39-6010,"Baggage Porters, Bellhops, and Concierges",54100.00,,16.68,34680.00,30720.00
39-6011,Baggage Porters and Bellhops,20530.00,,14.44,30040.00,29120.00
39-6012,Concierges,33560.00,,18.04,37520.00,35210.00
39-7000,Tour and Travel Guides,30980.00,,15.96,33200.00,29780.00
39-7010,Tour and Travel Guides,30980.00,,15.96,33200.00,29780.00
39-7010,Tour and Travel Guides,30980.00,,15.96,33200.00,29780.00
39-9000,Other Personal Care and Service Workers,1088670.00,,15.99,33260.00,29540.00
39-9010,Childcare Workers,438520.00,,13.31,27680.00,27490.00
39-9011,Childcare Workers,438520.00,,13.31,27680.00,27490.00
39-9030,Recreation and Fitness Workers,485620.00,,18.43,38340.00,30930.00
39-9031,Exercise Trainers and Group Fitness Instructors,221600.00,,22.05,45870.00,40700.00
39-9032,Recreation Workers,264020.00,,15.39,32020.00,29680.00
39-9040,Residential Advisors,92500.00,,16.81,34950.00,31220.00
39-9041,Residential Advisors,92500.00,,16.81,34950.00,31220.00
39-9090,Miscellaneous Personal Care and Service Workers,72030.00,,14.80,30790.00,29610.00
39-9099,"Personal Care and Service Workers, All Other",72030.00,,14.80,30790.00,29610.00
41-0000,Sales and Related Occupations,13256290.00,,22.15,46080.00,30600.00
41-1000,Supervisors of Sales Workers,1387190.00,,26.38,54880.00,46850.00
41-1010,First-Line Supervisors of Sales Workers,1387190.00,,26.38,54880.00,46850.00
41-1011,First-Line Supervisors of Retail Sales Workers,1143260.00,,22.54,46890.00,39230.00
41-1012,First-Line Supervisors of Non-Retail Sales Workers,243920.00,,44.38,92320.00,79680.00
41-2000,Retail Sales Workers,7665410.00,,14.45,30060.00,28680.00
41-2010,Cashiers,3335170.00,,12.88,26780.00,27280.00
41-2011,Cashiers,3318020.00,,12.87,26770.00,27260.00
41-2012,Gambling Change Persons and Booth Cashiers,17150.00,,14.00,29130.00,28600.00
41-2020,Counter and Rental Clerks and Parts Salespersons,636750.00,,17.54,36480.00,31780.00
41-2021,Counter and Rental Clerks,371620.00,,17.39,36170.00,31330.00
41-2022,Parts Salespersons,265130.00,,17.75,36920.00,34260.00
41-2030,Retail Salespersons,3693490.00,,15.35,31920.00,29120.00
41-2031,Retail Salespersons,3693490.00,,15.35,31920.00,29120.00
41-3000,"Sales Representatives, Services",2009700.00,,35.95,74770.00,60550.00
41-3010,Advertising Sales Agents,96660.00,,31.99,66540.00,52340.00
41-3011,Advertising Sales Agents,96660.00,,31.99,66540.00,52340.00
41-3020,Insurance Sales Agents,422600.00,,33.34,69340.00,49840.00
41-3021,Insurance Sales Agents,422600.00,,33.34,69340.00,49840.00
41-3030,"Securities, Commodities, and Financial Services Sales Agents",426870.00,,44.84,93260.00,62910.00
41-3031,"Securities, Commodities, and Financial Services Sales Agents",426870.00,,44.84,93260.00,62910.00
41-3040,Travel Agents,37190.00,,22.39,46580.00,43810.00
41-3041,Travel Agents,37190.00,,22.39,46580.00,43810.00
41-3090,"Miscellaneous Sales Representatives, Services",1026390.00,,34.19,71110.00,60550.00
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1026390.00,,34.19,71110.00,60550.00
41-4000,"Sales Representatives, Wholesale and Manufacturing",1508660.00,,37.38,77750.00,62890.00
41-4010,"Sales Representatives, Wholesale and Manufacturing",1508660.00,,37.38,77750.00,62890.00
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",266160.00,,49.40,102750.00,94840.00
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1242490.00,,34.81,72390.00,61600.00
41-9000,Other Sales and Related Workers,685330.00,,25.76,53580.00,36590.00
41-9010,"Models, Demonstrators, and Product Promoters",42670.00,,19.01,39550.00,32730.00
41-9011,Demonstrators and Product Promoters,40680.00,,17.78,36990.00,32350.00
41-9012,Models,2000.00,,*,*,*
41-9020,Real Estate Brokers and Sales Agents,224380.00,,32.16,66880.00,48770.00
41-9021,Real Estate Brokers,48460.00,,41.58,86490.00,62010.00
41-9022,Real Estate Sales Agents,175920.00,,29.56,61480.00,48340.00
41-9030,Sales Engineers,59550.00,,57.03,118630.00,103710.00
41-9031,Sales Engineers,59550.00,,57.03,118630.00,103710.00
41-9040,Telemarketers,115130.00,,14.74,30670.00,28910.00
41-9041,Telemarketers,115130.00,,14.74,30670.00,28910.00
41-9090,Miscellaneous Sales and Related Workers,243600.00,,18.61,38720.00,29570.00
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",7860.00,,16.81,34970.00,29390.00
41-9099,"Sales and Related Workers, All Other",235740.00,,18.67,38840.00,29570.00
43-0000,Office and Administrative Support Occupations,18299380.00,,20.88,43430.00,38050.00
43-1000,Supervisors of Office and Administrative Support Workers,1443630.00,,30.47,63380.00,60590.00
43-1010,First-Line Supervisors of Office and Administrative Support Workers,1443630.00,,30.47,63380.00,60590.00
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1443630.00,,30.47,63380.00,60590.00
43-2000,Communications Equipment Operators,53400.00,,16.98,35310.00,30720.00
43-2010,"Switchboard Operators, Including Answering Service",48190.00,,16.63,34590.00,30150.00
43-2011,"Switchboard Operators, Including Answering Service",48190.00,,16.63,34590.00,30150.00
43-2020,Telephone Operators,3870.00,,18.93,39370.00,37630.00
43-2021,Telephone Operators,3870.00,,18.93,39370.00,37630.00
43-2090,Miscellaneous Communications Equipment Operators,1340.00,,23.79,49470.00,47000.00
43-2099,"Communications Equipment Operators, All Other",1340.00,,23.79,49470.00,47000.00
43-3000,Financial Clerks,2768230.00,,20.84,43340.00,38830.00
43-3010,Bill and Account Collectors,212900.00,,19.85,41280.00,37700.00
43-3011,Bill and Account Collectors,212900.00,,19.85,41280.00,37700.00
43-3020,Billing and Posting Clerks,429080.00,,20.55,42750.00,38330.00
43-3021,Billing and Posting Clerks,429080.00,,20.55,42750.00,38330.00
43-3030,"Bookkeeping, Accounting, and Auditing Clerks",1509370.00,,21.70,45140.00,45560.00
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1509370.00,,21.70,45140.00,45560.00
43-3040,Gambling Cage Workers,11140.00,,14.79,30770.00,29360.00
43-3041,Gambling Cage Workers,11140.00,,14.79,30770.00,29360.00
43-3050,Payroll and Timekeeping Clerks,149290.00,,23.83,49560.00,47610.00
43-3051,Payroll and Timekeeping Clerks,149290.00,,23.83,49560.00,47610.00
43-3060,Procurement Clerks,61930.00,,21.60,44930.00,45150.00
43-3061,Procurement Clerks,61930.00,,21.60,44930.00,45150.00
43-3070,Tellers,364210.00,,16.79,34930.00,36310.00
43-3071,Tellers,364210.00,,16.79,34930.00,36310.00
43-3090,Miscellaneous Financial Clerks,30310.00,,23.00,47830.00,46900.00
43-3099,"Financial Clerks, All Other",30310.00,,23.00,47830.00,46900.00
43-4000,Information and Record Clerks,5461400.00,,18.59,38670.00,36770.00
43-4010,Brokerage Clerks,39980.00,,27.75,57710.00,54000.00
43-4011,Brokerage Clerks,39980.00,,27.75,57710.00,54000.00
43-4020,Correspondence Clerks,7060.00,,20.06,41710.00,37920.00
43-4021,Correspondence Clerks,7060.00,,20.06,41710.00,37920.00
43-4030,"Court, Municipal, and License Clerks",150170.00,,21.57,44870.00,44610.00
43-4031,"Court, Municipal, and License Clerks",150170.00,,21.57,44870.00,44610.00
43-4040,"Credit Authorizers, Checkers, and Clerks",16820.00,,21.42,44540.00,44710.00
43-4041,"Credit Authorizers, Checkers, and Clerks",16820.00,,21.42,44540.00,44710.00
43-4050,Customer Service Representatives,2787070.00,,18.79,39070.00,36920.00
43-4051,Customer Service Representatives,2787070.00,,18.79,39070.00,36920.00
43-4060,"Eligibility Interviewers, Government Programs",151340.00,,23.35,48570.00,47420.00
43-4061,"Eligibility Interviewers, Government Programs",151340.00,,23.35,48570.00,47420.00
43-4070,File Clerks,85460.00,,17.70,36820.00,36360.00
43-4071,File Clerks,85460.00,,17.70,36820.00,36360.00
43-4080,"Hotel, Motel, and Resort Desk Clerks",220380.00,,13.48,28040.00,28080.00
43-4081,"Hotel, Motel, and Resort Desk Clerks",220380.00,,13.48,28040.00,28080.00
43-4110,"Interviewers, Except Eligibility and Loan",169840.00,,18.67,38840.00,37220.00
43-4111,"Interviewers, Except Eligibility and Loan",169840.00,,18.67,38840.00,37220.00
43-4120,"Library Assistants, Clerical",78470.00,,15.62,32490.00,29450.00
43-4121,"Library Assistants, Clerical",78470.00,,15.62,32490.00,29450.00
43-4130,Loan Interviewers and Clerks,238610.00,,21.59,44910.00,45940.00
43-4131,Loan Interviewers and Clerks,238610.00,,21.59,44910.00,45940.00
43-4140,New Accounts Clerks,40500.00,,19.83,41250.00,37840.00
43-4141,New Accounts Clerks,40500.00,,19.83,41250.00,37840.00
43-4150,Order Clerks,133850.00,,20.11,41820.00,37920.00
43-4151,Order Clerks,133850.00,,20.11,41820.00,37920.00
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",102770.00,,21.56,44840.00,45630.00
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",102770.00,,21.56,44840.00,45630.00
43-4170,Receptionists and Information Clerks,983150.00,,15.82,32910.00,29950.00
43-4171,Receptionists and Information Clerks,983150.00,,15.82,32910.00,29950.00
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,100860.00,,21.94,45630.00,39900.00
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,100860.00,,21.94,45630.00,39900.00
43-4190,Miscellaneous Information and Record Clerks,155080.00,,21.13,43950.00,43160.00
43-4199,"Information and Record Clerks, All Other",155080.00,,21.13,43950.00,43160.00
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",2213750.00,,21.97,45710.00,42030.00
43-5010,Cargo and Freight Agents,85750.00,,23.28,48420.00,46910.00
43-5011,Cargo and Freight Agents,85750.00,,23.28,48420.00,46910.00
43-5020,Couriers and Messengers,68310.00,,16.48,34270.00,33050.00
43-5021,Couriers and Messengers,68310.00,,16.48,34270.00,33050.00
43-5030,Dispatchers,291380.00,,22.49,46780.00,45510.00
43-5031,Public Safety Telecommunicators,97050.00,,22.61,47030.00,46670.00
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",194330.00,,22.43,46650.00,44050.00
43-5040,"Meter Readers, Utilities",24000.00,,22.81,47430.00,45720.00
43-5041,"Meter Readers, Utilities",24000.00,,22.81,47430.00,45720.00
43-5050,Postal Service Workers,527000.00,,25.71,53480.00,51730.00
43-5051,Postal Service Clerks,79320.00,,25.58,53210.00,52290.00
43-5052,Postal Service Mail Carriers,335540.00,,26.14,54370.00,52440.00
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",112130.00,,24.52,51010.00,48550.00
43-5060,"Production, Planning, and Expediting Clerks",367200.00,,25.11,52220.00,48040.00
43-5061,"Production, Planning, and Expediting Clerks",367200.00,,25.11,52220.00,48040.00
43-5070,"Shipping, Receiving, and Inventory Clerks",795360.00,,18.37,38210.00,36890.00
43-5071,"Shipping, Receiving, and Inventory Clerks",795360.00,,18.37,38210.00,36890.00
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",54760.00,,19.01,39540.00,37610.00
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",54760.00,,19.01,39540.00,37610.00
43-6000,Secretaries and Administrative Assistants,3104790.00,,21.76,45250.00,39680.00
43-6010,Secretaries and Administrative Assistants,3104790.00,,21.76,45250.00,39680.00
43-6011,Executive Secretaries and Executive Administrative Assistants,466910.00,,32.15,66870.00,62060.00
43-6012,Legal Secretaries and Administrative Assistants,155250.00,,25.26,52540.00,47710.00
43-6013,Medical Secretaries and Administrative Assistants,656640.00,,19.11,39740.00,37450.00
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1825980.00,,19.75,41080.00,37880.00
43-9000,Other Office and Administrative Support Workers,3254180.00,,18.98,39480.00,37180.00
43-9020,Data Entry and Information Processing Workers,189100.00,,18.07,37590.00,36850.00
43-9021,Data Entry Keyers,147170.00,,17.28,35940.00,35630.00
43-9022,Word Processors and Typists,41930.00,,20.85,43370.00,44030.00
43-9030,Desktop Publishers,7600.00,,24.49,50930.00,46910.00
43-9031,Desktop Publishers,7600.00,,24.49,50930.00,46910.00
43-9040,Insurance Claims and Policy Processing Clerks,218300.00,,22.02,45790.00,45520.00
43-9041,Insurance Claims and Policy Processing Clerks,218300.00,,22.02,45790.00,45520.00
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",69400.00,,16.54,34390.00,32550.00
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",69400.00,,16.54,34390.00,32550.00
43-9060,"Office Clerks, General",2578180.00,,18.75,38990.00,37030.00
43-9061,"Office Clerks, General",2578180.00,,18.75,38990.00,37030.00
43-9070,"Office Machine Operators, Except Computer",32920.00,,17.84,37110.00,36630.00
43-9071,"Office Machine Operators, Except Computer",32920.00,,17.84,37110.00,36630.00
43-9080,Proofreaders and Copy Markers,5340.00,,22.12,46010.00,43940.00
43-9081,Proofreaders and Copy Markers,5340.00,,22.12,46010.00,43940.00
43-9110,Statistical Assistants,6190.00,,25.68,53420.00,48160.00
43-9111,Statistical Assistants,6190.00,,25.68,53420.00,48160.00
43-9190,Miscellaneous Office and Administrative Support Workers,147140.00,,20.47,42580.00,37900.00
43-9199,"Office and Administrative Support Workers, All Other",147140.00,,20.47,42580.00,37900.00
45-0000,"Farming, Fishing, and Forestry Occupations",452490.00,,16.70,34730.00,29860.00
45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",25770.00,,26.18,54450.00,48640.00
45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",25770.00,,26.18,54450.00,48640.00
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",25770.00,,26.18,54450.00,48640.00
45-2000,Agricultural Workers,383760.00,,15.60,32450.00,29680.00
45-2010,Agricultural Inspectors,13630.00,,22.80,47430.00,45140.00
45-2011,Agricultural Inspectors,13630.00,,22.80,47430.00,45140.00
45-2020,Animal Breeders,950.00,,20.81,43270.00,40090.00
45-2021,Animal Breeders,950.00,,20.81,43270.00,40090.00
45-2040,"Graders and Sorters, Agricultural Products",25560.00,,14.62,30400.00,29630.00
45-2041,"Graders and Sorters, Agricultural Products",25560.00,,14.62,30400.00,29630.00
45-2090,Miscellaneous Agricultural Workers,343630.00,,15.37,31980.00,29680.00
45-2091,Agricultural Equipment Operators,26180.00,,17.44,36280.00,36360.00
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",277200.00,,15.11,31440.00,29630.00
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",34140.00,,15.46,32150.00,29630.00
45-2099,"Agricultural Workers, All Other",6100.00,,17.88,37190.00,32550.00
45-4000,"Forest, Conservation, and Logging Workers",42330.00,,20.83,43320.00,39050.00
45-4010,Forest and Conservation Workers,6300.00,,16.20,33690.00,30550.00
45-4011,Forest and Conservation Workers,6300.00,,16.20,33690.00,30550.00
45-4020,Logging Workers,36030.00,,21.63,45000.00,46330.00
45-4021,Fallers,4170.00,,25.85,53760.00,47700.00
45-4022,Logging Equipment Operators,25510.00,,21.14,43960.00,46400.00
45-4023,Log Graders and Scalers,3260.00,,19.96,41520.00,37820.00
45-4029,"Logging Workers, All Other",3080.00,,21.84,45430.00,46090.00
47-0000,Construction and Extraction Occupations,5848950.00,,26.87,55900.00,48210.00
47-1000,Supervisors of Construction and Extraction Workers,665870.00,,36.09,75060.00,72010.00
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,665870.00,,36.09,75060.00,72010.00
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,665870.00,,36.09,75060.00,72010.00
47-2000,Construction Trades Workers,4362080.00,,26.03,54140.00,47860.00
47-2010,Boilermakers,12920.00,,33.21,69070.00,64290.00
47-2011,Boilermakers,12920.00,,33.21,69070.00,64290.00
47-2020,"Brickmasons, Blockmasons, and Stonemasons",64950.00,,28.78,59870.00,56950.00
47-2021,Brickmasons and Blockmasons,55950.00,,29.53,61430.00,59340.00
47-2022,Stonemasons,9000.00,,24.12,50170.00,47610.00
47-2030,Carpenters,668060.00,,26.53,55190.00,48260.00
47-2031,Carpenters,668060.00,,26.53,55190.00,48260.00
47-2040,"Carpet, Floor, and Tile Installers and Finishers",83600.00,,24.95,51890.00,47310.00
47-2041,Carpet Installers,19790.00,,23.42,48710.00,46640.00
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",18300.00,,25.90,53880.00,48060.00
47-2043,Floor Sanders and Finishers,4340.00,,21.34,44380.00,39140.00
47-2044,Tile and Stone Setters,41160.00,,25.64,53330.00,47810.00
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",189240.00,,24.52,51000.00,47360.00
47-2051,Cement Masons and Concrete Finishers,186600.00,,24.47,50900.00,47340.00
47-2053,Terrazzo Workers and Finishers,2640.00,,28.07,58380.00,48680.00
47-2060,Construction Laborers,968760.00,,21.22,44130.00,37770.00
47-2061,Construction Laborers,968760.00,,21.22,44130.00,37770.00
47-2070,Construction Equipment Operators,452780.00,,26.87,55890.00,48290.00
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",44200.00,,24.32,50590.00,46960.00
47-2072,Pile Driver Operators,3760.00,,36.51,75950.00,76260.00
47-2073,Operating Engineers and Other Construction Equipment Operators,404820.00,,27.06,56280.00,48360.00
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",111650.00,,27.00,56160.00,48350.00
47-2081,Drywall and Ceiling Tile Installers,97070.00,,26.35,54810.00,48040.00
47-2082,Tapers,14580.00,,31.32,65140.00,61080.00
47-2110,Electricians,650580.00,,30.44,63310.00,60040.00
47-2111,Electricians,650580.00,,30.44,63310.00,60040.00
47-2120,Glaziers,52700.00,,24.98,51950.00,47180.00
47-2121,Glaziers,52700.00,,24.98,51950.00,47180.00
47-2130,Insulation Workers,58370.00,,24.18,50300.00,46760.00
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",30360.00,,21.54,44810.00,39880.00
47-2132,"Insulation Workers, Mechanical",28010.00,,27.05,56260.00,48260.00
47-2140,Painters and Paperhangers,216560.00,,22.69,47180.00,45630.00
47-2141,"Painters, Construction and Maintenance",214220.00,,22.66,47140.00,45590.00
47-2142,Paperhangers,2340.00,,24.79,51560.00,47610.00
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",450940.00,,29.93,62250.00,59310.00
47-2151,Pipelayers,33330.00,,23.32,48510.00,45980.00
47-2152,"Plumbers, Pipefitters, and Steamfitters",417620.00,,30.46,63350.00,59880.00
47-2160,Plasterers and Stucco Masons,26980.00,,26.35,54810.00,48340.00
47-2161,Plasterers and Stucco Masons,26980.00,,26.35,54810.00,48340.00
47-2170,Reinforcing Iron and Rebar Workers,16420.00,,28.35,58960.00,48830.00
47-2171,Reinforcing Iron and Rebar Workers,16420.00,,28.35,58960.00,48830.00
47-2180,Roofers,129890.00,,23.51,48890.00,47110.00
47-2181,Roofers,129890.00,,23.51,48890.00,47110.00
47-2210,Sheet Metal Workers,122630.00,,28.25,58760.00,53440.00
47-2211,Sheet Metal Workers,122630.00,,28.25,58760.00,53440.00
47-2220,Structural Iron and Steel Workers,68620.00,,29.46,61270.00,58550.00
47-2221,Structural Iron and Steel Workers,68620.00,,29.46,61270.00,58550.00
47-2230,Solar Photovoltaic Installers,16420.00,,24.38,50710.00,47670.00
47-2231,Solar Photovoltaic Installers,16420.00,,24.38,50710.00,47670.00
47-3000,"Helpers, Construction Trades",206900.00,,17.95,37340.00,36510.00
47-3010,"Helpers, Construction Trades",206900.00,,17.95,37340.00,36510.00
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",18210.00,,20.85,43370.00,37870.00
47-3012,Helpers--Carpenters,27540.00,,17.95,37340.00,36690.00
47-3013,Helpers--Electricians,72150.00,,17.66,36720.00,36360.00
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",8940.00,,16.96,35270.00,33370.00
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",45930.00,,17.47,36350.00,35720.00
47-3016,Helpers--Roofers,6830.00,,17.31,36000.00,36360.00
47-3019,"Helpers, Construction Trades, All Other",27300.00,,18.08,37610.00,36690.00
47-4000,Other Construction and Related Workers,430760.00,,26.28,54670.00,47910.00
47-4010,Construction and Building Inspectors,117830.00,,32.93,68480.00,61640.00
47-4011,Construction and Building Inspectors,117830.00,,32.93,68480.00,61640.00
47-4020,Elevator and Escalator Installers and Repairers,22510.00,,43.91,91320.00,97860.00
47-4021,Elevator and Escalator Installers and Repairers,22510.00,,43.91,91320.00,97860.00
47-4030,Fence Erectors,24470.00,,19.78,41140.00,37700.00
47-4031,Fence Erectors,24470.00,,19.78,41140.00,37700.00
47-4040,Hazardous Materials Removal Workers,44240.00,,23.69,49280.00,46300.00
47-4041,Hazardous Materials Removal Workers,44240.00,,23.69,49280.00,46300.00
47-4050,Highway Maintenance Workers,141150.00,,21.32,44340.00,45880.00
47-4051,Highway Maintenance Workers,141150.00,,21.32,44340.00,45880.00
47-4060,Rail-Track Laying and Maintenance Equipment Operators,21030.00,,29.22,60770.00,61690.00
47-4061,Rail-Track Laying and Maintenance Equipment Operators,21030.00,,29.22,60770.00,61690.00
47-4070,Septic Tank Servicers and Sewer Pipe Cleaners,28620.00,,21.82,45390.00,44810.00
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,28620.00,,21.82,45390.00,44810.00
47-4090,Miscellaneous Construction and Related Workers,30920.00,,21.81,45370.00,39850.00
47-4090,Miscellaneous Construction and Related Workers,30920.00,,21.81,45370.00,39850.00
47-5000,Extraction Workers,183340.00,,24.95,51900.00,47600.00
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",51910.00,,27.14,56460.00,48740.00
47-5011,"Derrick Operators, Oil and Gas",7880.00,,25.07,52140.00,47230.00
47-5012,"Rotary Drill Operators, Oil and Gas",11170.00,,29.73,61840.00,56380.00
47-5013,"Service Unit Operators, Oil and Gas",32870.00,,26.76,55660.00,48410.00
47-5020,Surface Mining Machine Operators and Earth Drillers,51520.00,,24.52,51000.00,47370.00
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",35720.00,,23.97,49850.00,46740.00
47-5023,"Earth Drillers, Except Oil and Gas",15800.00,,25.77,53600.00,48250.00
47-5030,"Explosives Workers, Ordnance Handling Experts, and Blasters",5370.00,,27.44,57070.00,53040.00
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",5370.00,,27.44,57070.00,53040.00
47-5040,Underground Mining Machine Operators,24200.00,,27.85,57920.00,59840.00
47-5041,Continuous Mining Machine Operators,14740.00,,27.61,57430.00,60300.00
47-5043,"Roof Bolters, Mining",1850.00,,28.45,59170.00,59770.00
47-5044,"Loading and Moving Machine Operators, Underground Mining",4450.00,,27.56,57330.00,57900.00
47-5049,"Underground Mining Machine Operators, All Other",3150.00,,28.99,60290.00,61260.00
47-5050,"Rock Splitters, Quarry",4450.00,,20.02,41630.00,37700.00
47-5051,"Rock Splitters, Quarry",4450.00,,20.02,41630.00,37700.00
47-5070,"Roustabouts, Oil and Gas",34520.00,,21.51,44730.00,38920.00
47-5071,"Roustabouts, Oil and Gas",34520.00,,21.51,44730.00,38920.00
47-5080,Helpers--Extraction Workers,5980.00,,19.65,40860.00,37760.00
47-5081,Helpers--Extraction Workers,5980.00,,19.65,40860.00,37760.00
47-5090,Miscellaneous Extraction Workers,5380.00,,24.50,50960.00,48140.00
47-5099,"Extraction Workers, All Other",5380.00,,24.50,50960.00,48140.00
